Tupla,# Entries,Start time,End time,Length,Density,Interarrival
221,3,1169924312,1169924371,59,0.05084745762711865,22378.0
222,2,1169978337,1169978337,0,inf,53966.0
223,8,1170005839,1170005900,61,0.13114754098360656,27502.0
224,2,1170114156,1170114156,0,inf,108256.0
225,6,1170120111,1170120171,60,0.1,5955.0
226,2,1170212767,1170212768,1,2.0,92596.0
227,1,1170232481,1170232481,0,inf,19713.0
228,10,1170285098,1170285159,61,0.16393442622950818,52617.0
229,6,1170297262,1170297323,61,0.09836065573770492,12103.0
230,3,1170315723,1170315723,0,inf,18400.0
231,19,1170317285,1170317518,233,0.0815450643776824,1562.0
232,43,1170395670,1170396191,521,0.08253358925143954,78152.0
233,20,1170396508,1170396609,101,0.19801980198019803,317.0
234,11,1170405204,1170405205,1,11.0,8595.0
235,22,1170405515,1170405616,101,0.21782178217821782,310.0
236,1,1170409330,1170409330,0,inf,3714.0
237,18,1170416787,1170416788,1,18.0,7457.0
238,21,1170417104,1170417206,102,0.20588235294117646,316.0
239,11,1170425437,1170425437,0,inf,8231.0
240,11,1170436205,1170436205,0,inf,10768.0
241,2,1170491065,1170491065,0,inf,54860.0
242,1,1170496844,1170496844,0,inf,5779.0
243,3,1170530760,1170530760,0,inf,33916.0
244,3,1170618958,1170618958,0,inf,88198.0
245,3,1170671026,1170671026,0,inf,52068.0
246,1,1170706840,1170706840,0,inf,35814.0
247,1,1170916741,1170916741,0,inf,209901.0
248,1,1170974937,1170974937,0,inf,58196.0
249,11,1170990945,1170991489,544,0.02022058823529412,16008.0
250,1,1170991780,1170991780,0,inf,291.0
251,24,1171014150,1171015349,1199,0.020016680567139282,22370.0
252,12,1171040874,1171041418,544,0.022058823529411766,25525.0
253,4,1171042581,1171042581,0,inf,1163.0
254,3,1171054570,1171054571,1,3.0,11989.0
255,1,1171065039,1171065039,0,inf,10468.0
256,2,1171090897,1171090897,0,inf,25858.0
257,12,1171092928,1171093088,160,0.075,2031.0
258,2,1171094045,1171094045,0,inf,957.0
259,15,1171094332,1171094385,53,0.2830188679245283,287.0
260,5,1171094933,1171095128,195,0.02564102564102564,548.0
261,1,1171111703,1171111703,0,inf,16575.0
262,2,1171145214,1171145214,0,inf,33511.0
263,26,1171150245,1171150956,711,0.03656821378340366,5031.0
264,19,1171153799,1171153802,3,6.333333333333333,2843.0
265,11,1171154449,1171154478,29,0.3793103448275862,647.0
266,7,1171157769,1171157782,13,0.5384615384615384,3291.0
267,20,1171158118,1171158183,65,0.3076923076923077,336.0
268,41,1171159500,1171159502,2,20.5,1317.0
269,18,1171159750,1171159942,192,0.09375,248.0
270,1,1171160231,1171160231,0,inf,289.0
271,8,1171161554,1171161555,1,8.0,1323.0
272,6,1171162907,1171162916,9,0.6666666666666666,1352.0
273,3,1171163147,1171163171,24,0.125,231.0
274,15,1171163380,1171163611,231,0.06493506493506493,209.0
275,12,1171173260,1171173272,12,1.0,9649.0
276,1,1171173583,1171173583,0,inf,311.0
277,158,1171196491,1171196562,71,2.2253521126760565,22908.0
278,2,1171196843,1171196843,0,inf,281.0
279,1,1171200016,1171200016,0,inf,3173.0
280,60,1171204342,1171204349,7,8.571428571428571,4326.0
281,28,1171204613,1171204627,14,2.0,264.0
282,9,1171205146,1171205146,0,inf,519.0
283,12,1171205658,1171205658,0,inf,512.0
284,6,1171212666,1171212667,1,6.0,7008.0
285,6,1171214463,1171214465,2,3.0,1796.0
286,2,1171216684,1171216684,0,inf,2219.0
287,42,1171218063,1171218075,12,3.5,1379.0
288,129,1171221287,1171221980,693,0.18614718614718614,3212.0
289,4,1171222573,1171222573,0,inf,593.0
290,13,1171224769,1171224791,22,0.5909090909090909,2196.0
291,4,1171225153,1171225155,2,2.0,362.0
292,3,1171228375,1171228375,0,inf,3220.0
293,62,1171232258,1171232426,168,0.36904761904761907,3883.0
294,3,1171234564,1171234567,3,1.0,2138.0
295,1,1171238736,1171238736,0,inf,4169.0
296,1,1171255046,1171255046,0,inf,16310.0
297,6,1171288842,1171288903,61,0.09836065573770492,33796.0
298,8590,1171321113,1171337216,16103,0.5334409737316028,32210.0
299,9825,1171337536,1171356961,19425,0.5057915057915058,320.0
300,503,1171357195,1171358506,1311,0.38367658276125094,234.0
301,11,1171358737,1171358737,0,inf,231.0
302,1137,1171359013,1171360978,1965,0.5786259541984733,276.0
303,11,1171361199,1171361200,1,11.0,221.0
304,746,1171361440,1171363938,2498,0.2986389111289031,240.0
305,3583,1171365076,1171373590,8514,0.420836269673479,1138.0
306,763,1171374383,1171375935,1552,0.49162371134020616,793.0
307,389,1171376166,1171377108,942,0.4129511677282378,231.0
308,2412,1171377332,1171383204,5872,0.41076294277929154,224.0
309,21,1171384133,1171384259,126,0.16666666666666666,929.0
310,42,1171384570,1171384876,306,0.13725490196078433,311.0
311,3536,1171385121,1171392801,7680,0.46041666666666664,245.0
312,3884,1171393958,1171401820,7862,0.49402187738488934,1157.0
313,334,1171402050,1171402738,688,0.48546511627906974,230.0
314,650,1171403701,1171405747,2046,0.3176930596285435,963.0
315,2057,1171405955,1171412236,6281,0.3274956217162872,208.0
316,11,1171412862,1171412862,0,inf,626.0
317,1148,1171413115,1171414894,1779,0.6453063518830804,253.0
318,927,1171417328,1171420300,2972,0.31191117092866755,2434.0
319,628,1171420612,1171421986,1374,0.4570596797671033,312.0
320,158,1171423115,1171423967,852,0.18544600938967137,1129.0
321,185,1171424185,1171424897,712,0.2598314606741573,218.0
322,344,1171425135,1171426778,1643,0.209373097991479,238.0
323,1112,1171426984,1171430946,3962,0.28066633013629483,206.0
324,5883,1171431954,1171440969,9015,0.6525790349417637,1008.0
325,5065,1171442011,1171451035,9024,0.5612810283687943,1042.0
326,3772,1171451986,1171460934,8948,0.4215467143495753,951.0
327,1083,1171461999,1171465261,3262,0.3320049049662784,1065.0
328,232,1171472631,1171474026,1395,0.16630824372759856,7370.0
329,32,1171474305,1171474450,145,0.2206896551724138,279.0
330,84,1171474730,1171475440,710,0.11830985915492957,280.0
331,993,1171475696,1171477427,1731,0.5736568457538995,256.0
332,1550,1171478338,1171482448,4110,0.3771289537712895,911.0
333,160,1171482652,1171483094,442,0.36199095022624433,204.0
334,701,1171483366,1171484600,1234,0.5680713128038898,272.0
335,146,1171484801,1171485193,392,0.37244897959183676,201.0
336,1,1171485571,1171485571,0,inf,378.0
337,127,1171485872,1171485877,5,25.4,301.0
338,11,1171490036,1171490037,1,11.0,4159.0
339,8,1171501062,1171501222,160,0.05,11025.0
340,2,1171511636,1171511636,0,inf,10414.0
341,3,1171525383,1171525383,0,inf,13747.0
342,7,1171532724,1171532784,60,0.11666666666666667,7341.0
343,1,1171564323,1171564323,0,inf,31539.0
344,3,1171622255,1171622255,0,inf,57932.0
345,3,1171694693,1171694693,0,inf,72438.0
346,7,1171734798,1171734858,60,0.11666666666666667,40105.0
347,3,1171746928,1171746928,0,inf,12070.0
348,4,1171769252,1171769252,0,inf,22324.0
349,2,1171783280,1171783307,27,0.07407407407407407,14028.0
350,2,1171844294,1171844294,0,inf,60987.0
351,1,1171846754,1171846754,0,inf,2460.0
352,4,1171868189,1171868190,1,4.0,21435.0
353,7,1171869564,1171869579,15,0.4666666666666667,1374.0
354,2,1171870836,1171870836,0,inf,1257.0
355,2,1171872483,1171872483,0,inf,1647.0
356,4,1171873762,1171873763,1,4.0,1279.0
357,2,1171875014,1171875014,0,inf,1251.0
358,4,1171876102,1171876103,1,4.0,1088.0
359,6,1171878237,1171878426,189,0.031746031746031744,2134.0
360,2,1171879670,1171879670,0,inf,1244.0
361,6,1171880841,1171880843,2,3.0,1171.0
362,23,1171882349,1171882372,23,1.0,1506.0
363,2,1171883182,1171883182,0,inf,810.0
364,12,1171883414,1171883648,234,0.05128205128205128,232.0
365,26,1171884630,1171884650,20,1.3,982.0
366,8,1171885208,1171885277,69,0.11594202898550725,558.0
367,179,1171885538,1171887337,1799,0.09949972206781545,261.0
368,4,1171889177,1171889263,86,0.046511627906976744,1840.0
369,3,1171925061,1171925061,0,inf,35798.0
370,712,1171984520,1171984601,81,8.790123456790123,59459.0
371,142,1171998808,1171998832,24,5.916666666666667,14207.0
372,30,1172001113,1172001114,1,30.0,2281.0
373,45,1172006396,1172006419,23,1.9565217391304348,5282.0
374,1,1172006619,1172006619,0,inf,200.0
375,4,1172010257,1172010323,66,0.06060606060606061,3638.0
376,1,1172108562,1172108562,0,inf,98239.0
377,59,1172357078,1172357344,266,0.22180451127819548,248516.0
378,22,1172427869,1172427869,0,inf,70525.0
379,1,1172433487,1172433487,0,inf,5618.0
380,1,1172434532,1172434532,0,inf,1045.0
381,6,1172485662,1172485722,60,0.1,51130.0
382,3,1172488475,1172488475,0,inf,2753.0
383,31,1172506752,1172506752,0,inf,18277.0
384,28,1172507080,1172507080,0,inf,328.0
385,13,1172509229,1172509230,1,13.0,2149.0
386,1,1172530433,1172530433,0,inf,21203.0
387,3,1172561906,1172561906,0,inf,31473.0
388,29,1172595537,1172595538,1,29.0,33631.0
389,1,1172603030,1172603030,0,inf,7492.0
390,5,1172603250,1172603250,0,inf,220.0
391,3,1172618554,1172618554,0,inf,15304.0
392,1,1172703667,1172703667,0,inf,85113.0
393,92,1172813885,1172814002,117,0.7863247863247863,110218.0
394,27,1172952986,1172952987,1,27.0,138984.0
395,2,1173013127,1173013127,0,inf,60140.0
396,2,1173024698,1173024782,84,0.023809523809523808,11571.0
397,46,1173034201,1173034224,23,2.0,9419.0
398,26,1173037815,1173037816,1,26.0,3591.0
399,3,1173124284,1173124284,0,inf,86468.0
400,1,1173133683,1173133683,0,inf,9399.0
401,1,1173187311,1173187311,0,inf,53628.0
402,875,1173212421,1173212642,221,3.9592760180995477,25110.0
403,1,1173219859,1173219859,0,inf,7217.0
404,141,1173220070,1173220076,6,23.5,211.0
405,8,1173236327,1173236354,27,0.2962962962962963,16251.0
406,4,1173236899,1173236899,0,inf,545.0
407,4,1173237145,1173237145,0,inf,246.0
408,4,1173237713,1173237713,0,inf,568.0
409,238,1173276860,1173277015,155,1.5354838709677419,39147.0
410,1,1173285686,1173285686,0,inf,8671.0
411,125,1173290781,1173290976,195,0.6410256410256411,5095.0
412,48,1173298137,1173298153,16,3.0,7161.0
413,1,1173597731,1173597731,0,inf,299578.0
414,457,1173631515,1173631738,223,2.0493273542600896,33784.0
415,3,1173645574,1173645575,1,3.0,13836.0
416,9,1173689410,1173689471,61,0.14754098360655737,43835.0
417,3,1173705356,1173705356,0,inf,15885.0
418,2,1173709946,1173709946,0,inf,4590.0
419,3,1173719416,1173719416,0,inf,9470.0
420,3,1173720221,1173720221,0,inf,805.0
421,4,1173734800,1173734801,1,4.0,14579.0
422,2,1173756930,1173756930,0,inf,22129.0
423,4,1173819131,1173819131,0,inf,62201.0
424,8,1173819351,1173819411,60,0.13333333333333333,220.0
425,4,1173928352,1173928352,0,inf,108941.0
426,1,1173960647,1173960647,0,inf,32295.0
427,6,1173998102,1173998103,1,6.0,37455.0
428,3,1174001685,1174001685,0,inf,3582.0
429,23,1174011576,1174012416,840,0.02738095238095238,9891.0
430,3,1174023522,1174023522,0,inf,11106.0
431,5,1174023869,1174023869,0,inf,347.0
432,3,1174026935,1174026935,0,inf,3066.0
433,2,1174037189,1174037190,1,2.0,10254.0
434,5,1174052031,1174052128,97,0.05154639175257732,14841.0
435,3,1174060204,1174060204,0,inf,8076.0
436,4,1174060462,1174060462,0,inf,258.0
437,3,1174060802,1174060862,60,0.05,340.0
438,3,1174069104,1174069104,0,inf,8242.0
439,3,1174074348,1174074348,0,inf,5244.0
440,3,1174138647,1174138647,0,inf,64299.0
441,3,1174151255,1174151255,0,inf,12608.0
442,2,1174163271,1174163271,0,inf,12016.0
443,4,1174166286,1174166286,0,inf,3015.0
444,1,1174167475,1174167475,0,inf,1189.0
445,9,1174167701,1174167745,44,0.20454545454545456,226.0
446,3,1174169227,1174169227,0,inf,1482.0
447,10,1174172922,1174173089,167,0.059880239520958084,3695.0
448,7,1174174238,1174174239,1,7.0,1149.0
449,3,1174182100,1174182100,0,inf,7861.0
450,18,1174206964,1174207205,241,0.07468879668049792,24864.0
451,30,1174224103,1174224296,193,0.15544041450777202,16898.0
452,49,1174224554,1174224763,209,0.23444976076555024,258.0
453,1,1174245458,1174245458,0,inf,20695.0
454,3,1174245678,1174245678,0,inf,220.0
455,3,1174248277,1174248277,0,inf,2599.0
456,26,1174248911,1174248911,0,inf,634.0
457,1,1174252862,1174252862,0,inf,3951.0
458,3,1174312543,1174312543,0,inf,59681.0
459,2938,1174339477,1174340225,748,3.927807486631016,26934.0
460,1,1174340675,1174340675,0,inf,450.0
461,4,1174353316,1174353317,1,4.0,12641.0
462,1,1174360996,1174360996,0,inf,7679.0
463,7,1174363233,1174363294,61,0.11475409836065574,2237.0
464,41,1174383557,1174384048,491,0.0835030549898167,20263.0
465,1,1174400832,1174400832,0,inf,16784.0
466,4,1174402701,1174402701,0,inf,1869.0
467,1,1174412220,1174412220,0,inf,9519.0
468,1,1174415503,1174415503,0,inf,3283.0
469,3,1174415723,1174415723,0,inf,220.0
470,3,1174425397,1174425397,0,inf,9674.0
471,3,1174431184,1174431184,0,inf,5787.0
472,2,1174479696,1174479713,17,0.11764705882352941,48512.0
473,1,1174492039,1174492039,0,inf,12326.0
