procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 997448 223368  77408 1117972    0    0     0     0 2646  478  0  9 91  0  0
 0  0 997448 223368  77408 1117972    0    0     0     0 4286  527  1 15 84  0  0
 0  0 997448 223368  77408 1117976    0    0     0     0 7824  701  0 30 70  0  0
 1  0 997448 223368  77408 1117976    0    0     0     0 9589  794  2 33 65  0  0
 1  0 997448 223368  77416 1117972    0    0     0    24 14154  940  1 63 35  1  0
 1  0 997448 223368  77416 1117980    0    0     0     0 16663 1195  2 81 17  0  0
 0  0 997448 223368  77416 1117984    0    0     0     0 16814 1123  1 82 17  0  0
 5  0 997448 223368  77416 1117984    0    0     0    92 15931 1163  1 78 21  0  0
 0  0 997448 223368  77416 1117988    0    0     0     0 5541  647  1 22 77  0  0
 2  0 997448 223368  77424 1117984    0    0     0    28 2756  488  0  7 93  0  0
 0  0 997448 223368  77424 1117992    0    0     0     0 4273  508  1 15 84  0  0
 1  0 997448 223368  77424 1117996    0    0     0     0 8017  715  0 32 68  0  0
 0  0 997448 223368  77424 1118000    0    0     0     0 9606  704  2 37 61  0  0
 1  0 997448 223368  77424 1118000    0    0     0    20 14633 1009  1 67 32  0  0
 1  0 997448 223368  77432 1117996    0    0     0    20 16064 1172  1 83 15  1  0
 2  0 997448 223368  77432 1118004    0    0     0     0 16764 1176  2 80 18  0  0
 0  0 997448 223368  77432 1118008    0    0     0     0 16115 1102  2 83 15  0  0
 0  0 997448 223368  77432 1118008    0    0     0     0 4652  599  0 21 79  0  0
 0  0 997448 223368  77432 1118012    0    0     0     4 2625  491  0  9 91  0  0
 0  0 997448 223368  77440 1118008    0    0     0    16 4438  562  1 14 83  2  0
 0  0 997448 223368  77440 1118016    0    0     0     0 8434  704  0 33 67  0  0
 0  0 997448 223368  77440 1118020    0    0     0     0 9081  701  0 36 64  0  0
 4  0 997448 223368  77440 1118024    0    0     0     0 14145 1042  2 68 30  0  0
 0  0 997448 223368  77440 1118028    0    0     0     0 17151 1229  1 83 16  0  0
 0  0 997448 223368  77448 1118020    0    0     0    20 4041  842  3 16 79  2  0
 0  0 997448 223368  77448 1118036    0    0     0     0  948  495  0  0 100  0  0
 1  0 997448 223368  77448 1118036    0    0     0     0  910  491  0  1 99  0  0
